omega_V,particles left
0.2,100
0.22,98
0.24,100
0.26,100
0.28,100
0.3,100
0.32,100
0.34,100
0.36,99
0.38,100
0.4,100
0.42,100
0.44,99
0.46,99
0.48,99
0.5,99
0.52,99
0.54,100
0.56,100
0.58,100
0.6,72
0.62,7
0.64,94
0.66,97
0.68,99
0.7,99
0.72,99
0.74,98
0.76,98
0.78,98
0.8,99
0.82,100
0.84,100
0.86,100
0.88,100
0.9,98
0.92,100
0.94,100
0.96,99
0.98,100
1,98
1.02,100
1.04,100
1.06,100
1.08,99
1.1,100
1.12,100
1.14,100
1.16,100
1.18,100
1.2,100
1.22,100
1.24,100
1.26,99
1.28,100
1.3,100
1.32,99
1.34,99
1.36,99
1.38,100
1.4,100
1.42,99
1.44,100
1.46,100
1.48,100
1.5,98
1.52,98
1.54,100
1.56,100
1.58,100
1.6,99
1.62,99
1.64,100
1.66,100
1.68,100
1.7,100
1.72,100
1.74,97
1.76,100
1.78,100
1.8,100
1.82,100
1.84,100
1.86,100
1.88,100
1.9,100
1.92,100
1.94,100
1.96,100
1.98,100
2,100
2.02,100
2.04,100
2.06,99
2.08,100
2.1,100
2.12,100
2.14,99
2.16,100
2.18,99
2.2,100
2.22,100
2.24,100
2.26,100
2.28,100
2.3,100
2.32,99
2.34,100
2.36,100
2.38,100
2.4,100
2.42,100
2.44,100
2.46,100
2.48,100
