x,y,z
1.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,9.999961e-05,0.000000e+00
1.000001e+00,1.999969e-04,0.000000e+00
1.000002e+00,2.999894e-04,0.000000e+00
1.000004e+00,3.999749e-04,0.000000e+00
1.000006e+00,4.999510e-04,0.000000e+00
1.000009e+00,5.999154e-04,0.000000e+00
1.000012e+00,6.998656e-04,0.000000e+00
1.000016e+00,7.997994e-04,0.000000e+00
1.000020e+00,8.997144e-04,0.000000e+00
1.000024e+00,9.996082e-04,0.000000e+00
1.000029e+00,1.099479e-03,0.000000e+00
1.000035e+00,1.199323e-03,0.000000e+00
1.000041e+00,1.299139e-03,0.000000e+00
1.000048e+00,1.398925e-03,0.000000e+00
1.000055e+00,1.498678e-03,0.000000e+00
1.000062e+00,1.598396e-03,0.000000e+00
1.000070e+00,1.698076e-03,0.000000e+00
1.000079e+00,1.797716e-03,0.000000e+00
1.000088e+00,1.897314e-03,0.000000e+00
1.000097e+00,1.996867e-03,0.000000e+00
1.000107e+00,2.096373e-03,0.000000e+00
1.000118e+00,2.195830e-03,0.000000e+00
1.000129e+00,2.295236e-03,0.000000e+00
1.000140e+00,2.394587e-03,0.000000e+00
1.000152e+00,2.493882e-03,0.000000e+00
1.000165e+00,2.593119e-03,0.000000e+00
1.000177e+00,2.692295e-03,0.000000e+00
1.000191e+00,2.791407e-03,0.000000e+00
1.000205e+00,2.890453e-03,0.000000e+00
1.000219e+00,2.989432e-03,0.000000e+00
1.000234e+00,3.088341e-03,0.000000e+00
1.000249e+00,3.187176e-03,0.000000e+00
1.000265e+00,3.285937e-03,0.000000e+00
1.000281e+00,3.384621e-03,0.000000e+00
1.000298e+00,3.483225e-03,0.000000e+00
1.000315e+00,3.581747e-03,0.000000e+00
1.000333e+00,3.680185e-03,0.000000e+00
1.000351e+00,3.778537e-03,0.000000e+00
1.000370e+00,3.876799e-03,0.000000e+00
1.000389e+00,3.974971e-03,0.000000e+00
1.000408e+00,4.073049e-03,0.000000e+00
1.000428e+00,4.171031e-03,0.000000e+00
1.000449e+00,4.268915e-03,0.000000e+00
1.000470e+00,4.366699e-03,0.000000e+00
1.000491e+00,4.464380e-03,0.000000e+00
1.000513e+00,4.561957e-03,0.000000e+00
1.000536e+00,4.659426e-03,0.000000e+00
1.000559e+00,4.756785e-03,0.000000e+00
1.000582e+00,4.854033e-03,0.000000e+00
1.000606e+00,4.951166e-03,0.000000e+00
1.000631e+00,5.048183e-03,0.000000e+00
1.000655e+00,5.145081e-03,0.000000e+00
1.000681e+00,5.241859e-03,0.000000e+00
1.000707e+00,5.338513e-03,0.000000e+00
1.000733e+00,5.435042e-03,0.000000e+00
1.000759e+00,5.531443e-03,0.000000e+00
1.000787e+00,5.627713e-03,0.000000e+00
1.000814e+00,5.723852e-03,0.000000e+00
1.000842e+00,5.819856e-03,0.000000e+00
1.000871e+00,5.915723e-03,0.000000e+00
1.000900e+00,6.011451e-03,0.000000e+00
1.000930e+00,6.107037e-03,0.000000e+00
1.000960e+00,6.202481e-03,0.000000e+00
1.000990e+00,6.297778e-03,0.000000e+00
1.001021e+00,6.392927e-03,0.000000e+00
1.001052e+00,6.487926e-03,0.000000e+00
