x,y,z
1.000000e+02,0.000000e+00,1.000000e+02
1.000002e+02,9.998072e-03,1.000002e+02
1.000010e+02,1.998457e-02,1.000010e+02
1.000022e+02,2.994794e-02,1.000022e+02
1.000038e+02,3.987663e-02,1.000038e+02
1.000060e+02,4.975911e-02,1.000060e+02
1.000087e+02,5.958388e-02,1.000087e+02
1.000118e+02,6.933946e-02,1.000118e+02
1.000154e+02,7.901443e-02,1.000154e+02
1.000194e+02,8.859740e-02,1.000194e+02
1.000240e+02,9.807704e-02,1.000240e+02
1.000290e+02,1.074421e-01,1.000290e+02
1.000344e+02,1.166813e-01,1.000344e+02
1.000404e+02,1.257836e-01,1.000404e+02
1.000468e+02,1.347379e-01,1.000468e+02
1.000536e+02,1.435333e-01,1.000536e+02
1.000609e+02,1.521588e-01,1.000609e+02
1.000686e+02,1.606037e-01,1.000686e+02
1.000768e+02,1.688573e-01,1.000768e+02
1.000854e+02,1.769090e-01,1.000854e+02
1.000945e+02,1.847485e-01,1.000945e+02
1.001040e+02,1.923653e-01,1.001040e+02
1.001139e+02,1.997492e-01,1.001139e+02
1.001242e+02,2.068902e-01,1.001242e+02
1.001349e+02,2.137785e-01,1.001349e+02
1.001460e+02,2.204040e-01,1.001460e+02
1.001576e+02,2.267574e-01,1.001576e+02
1.001695e+02,2.328290e-01,1.001695e+02
1.001818e+02,2.386096e-01,1.001818e+02
1.001945e+02,2.440900e-01,1.001945e+02
1.002075e+02,2.492613e-01,1.002075e+02
1.002209e+02,2.541146e-01,1.002209e+02
1.002347e+02,2.586414e-01,1.002347e+02
1.002488e+02,2.628332e-01,1.002488e+02
1.002632e+02,2.666818e-01,1.002632e+02
1.002780e+02,2.701791e-01,1.002780e+02
1.002931e+02,2.733174e-01,1.002931e+02
1.003085e+02,2.760890e-01,1.003085e+02
1.003242e+02,2.784864e-01,1.003242e+02
1.003403e+02,2.805025e-01,1.003403e+02
1.003565e+02,2.821304e-01,1.003565e+02
1.003731e+02,2.833632e-01,1.003731e+02
1.003900e+02,2.841944e-01,1.003900e+02
1.004071e+02,2.846177e-01,1.004071e+02
1.004244e+02,2.846271e-01,1.004244e+02
1.004420e+02,2.842167e-01,1.004420e+02
1.004598e+02,2.833809e-01,1.004598e+02
1.004778e+02,2.821145e-01,1.004778e+02
1.004960e+02,2.804122e-01,1.004960e+02
1.005145e+02,2.782693e-01,1.005145e+02
1.005331e+02,2.756812e-01,1.005331e+02
1.005519e+02,2.726435e-01,1.005519e+02
1.005708e+02,2.691522e-01,1.005708e+02
1.005899e+02,2.652035e-01,1.005899e+02
1.006091e+02,2.607937e-01,1.006091e+02
1.006285e+02,2.559197e-01,1.006285e+02
1.006480e+02,2.505784e-01,1.006480e+02
1.006676e+02,2.447670e-01,1.006676e+02
1.006873e+02,2.384830e-01,1.006873e+02
1.007071e+02,2.317243e-01,1.007071e+02
1.007270e+02,2.244890e-01,1.007270e+02
1.007469e+02,2.167753e-01,1.007469e+02
1.007668e+02,2.085819e-01,1.007668e+02
1.007869e+02,1.999076e-01,1.007869e+02
1.008069e+02,1.907517e-01,1.008069e+02
1.008269e+02,1.811135e-01,1.008269e+02
1.008470e+02,1.709928e-01,1.008470e+02
1.008671e+02,1.603896e-01,1.008671e+02
1.008871e+02,1.493042e-01,1.008871e+02
1.009071e+02,1.377370e-01,1.009071e+02
1.009271e+02,1.256890e-01,1.009271e+02
1.009470e+02,1.131613e-01,1.009470e+02
1.009668e+02,1.001552e-01,1.009668e+02
1.009866e+02,8.667235e-02,1.009866e+02
1.010063e+02,7.271472e-02,1.010063e+02
1.010258e+02,5.828452e-02,1.010258e+02
1.010453e+02,4.338420e-02,1.010453e+02
1.010647e+02,2.801651e-02,1.010647e+02
1.010839e+02,1.218448e-02,1.010839e+02
1.011030e+02,-4.108629e-03,1.011030e+02
1.011219e+02,-2.085926e-02,1.011219e+02
1.011407e+02,-3.806361e-02,1.011407e+02
1.011592e+02,-5.571761e-02,1.011592e+02
1.011776e+02,-7.381692e-02,1.011776e+02
1.011958e+02,-9.235698e-02,1.011958e+02
1.012138e+02,-1.113329e-01,1.012138e+02
1.012316e+02,-1.307397e-01,1.012316e+02
1.012491e+02,-1.505719e-01,1.012491e+02
1.012664e+02,-1.708240e-01,1.012664e+02
1.012835e+02,-1.914902e-01,1.012835e+02
1.013003e+02,-2.125645e-01,1.013003e+02
1.013168e+02,-2.340404e-01,1.013168e+02
1.013331e+02,-2.559115e-01,1.013331e+02
1.013490e+02,-2.781711e-01,1.013490e+02
1.013647e+02,-3.008121e-01,1.013647e+02
1.013801e+02,-3.238274e-01,1.013801e+02
1.013951e+02,-3.472095e-01,1.013951e+02
1.014098e+02,-3.709509e-01,1.014098e+02
1.014242e+02,-3.950437e-01,1.014242e+02
1.014383e+02,-4.194799e-01,1.014383e+02
1.014520e+02,-4.442512e-01,1.014520e+02
1.014653e+02,-4.693493e-01,1.014653e+02
1.014783e+02,-4.947655e-01,1.014783e+02
1.014909e+02,-5.204910e-01,1.014909e+02
1.015031e+02,-5.465169e-01,1.015031e+02
1.015150e+02,-5.728340e-01,1.015150e+02
1.015264e+02,-5.994331e-01,1.015264e+02
1.015375e+02,-6.263046e-01,1.015375e+02
1.015481e+02,-6.534389e-01,1.015481e+02
1.015584e+02,-6.808262e-01,1.015584e+02
1.015682e+02,-7.084567e-01,1.015682e+02
1.015776e+02,-7.363202e-01,1.015776e+02
1.015866e+02,-7.644065e-01,1.015866e+02
1.015951e+02,-7.927054e-01,1.015951e+02
1.016032e+02,-8.212064e-01,1.016032e+02
1.016108e+02,-8.498989e-01,1.016108e+02
1.016180e+02,-8.787722e-01,1.016180e+02
1.016248e+02,-9.078156e-01,1.016248e+02
1.016311e+02,-9.370182e-01,1.016311e+02
1.016369e+02,-9.663690e-01,1.016369e+02
1.016423e+02,-9.958570e-01,1.016423e+02
1.016472e+02,-1.025471e+00,1.016472e+02
1.016516e+02,-1.055200e+00,1.016516e+02
1.016556e+02,-1.085032e+00,1.016556e+02
1.016591e+02,-1.114957e+00,1.016591e+02
1.016621e+02,-1.144962e+00,1.016621e+02
1.016646e+02,-1.175037e+00,1.016646e+02
1.016666e+02,-1.205170e+00,1.016666e+02
1.016682e+02,-1.235349e+00,1.016682e+02
1.016693e+02,-1.265564e+00,1.016693e+02
1.016699e+02,-1.295801e+00,1.016699e+02
1.016700e+02,-1.326051e+00,1.016700e+02
1.016697e+02,-1.356300e+00,1.016697e+02
1.016688e+02,-1.386539e+00,1.016688e+02
1.016675e+02,-1.416754e+00,1.016675e+02
1.016657e+02,-1.446935e+00,1.016657e+02
1.016634e+02,-1.477070e+00,1.016634e+02
1.016606e+02,-1.507148e+00,1.016606e+02
1.016573e+02,-1.537156e+00,1.016573e+02
1.016536e+02,-1.567084e+00,1.016536e+02
1.016494e+02,-1.596921e+00,1.016494e+02
1.016447e+02,-1.626654e+00,1.016447e+02
1.016396e+02,-1.656273e+00,1.016396e+02
1.016340e+02,-1.685767e+00,1.016340e+02
1.016279e+02,-1.715123e+00,1.016279e+02
1.016214e+02,-1.744332e+00,1.016214e+02
1.016144e+02,-1.773382e+00,1.016144e+02
1.016069e+02,-1.802263e+00,1.016069e+02
1.015990e+02,-1.830963e+00,1.015990e+02
1.015907e+02,-1.859472e+00,1.015907e+02
1.015819e+02,-1.887780e+00,1.015819e+02
1.015727e+02,-1.915875e+00,1.015727e+02
1.015630e+02,-1.943748e+00,1.015630e+02
1.015530e+02,-1.971388e+00,1.015530e+02
1.015425e+02,-1.998786e+00,1.015425e+02
1.015316e+02,-2.025931e+00,1.015316e+02
1.015203e+02,-2.052813e+00,1.015203e+02
1.015086e+02,-2.079424e+00,1.015086e+02
1.014965e+02,-2.105752e+00,1.014965e+02
1.014840e+02,-2.131790e+00,1.014840e+02
1.014711e+02,-2.157529e+00,1.014711e+02
1.014579e+02,-2.182958e+00,1.014579e+02
1.014443e+02,-2.208069e+00,1.014443e+02
1.014303e+02,-2.232854e+00,1.014303e+02
1.014160e+02,-2.257304e+00,1.014160e+02
1.014014e+02,-2.281411e+00,1.014014e+02
1.013864e+02,-2.305167e+00,1.013864e+02
1.013711e+02,-2.328564e+00,1.013711e+02
1.013555e+02,-2.351595e+00,1.013555e+02
1.013396e+02,-2.374251e+00,1.013396e+02
1.013234e+02,-2.396526e+00,1.013234e+02
1.013069e+02,-2.418414e+00,1.013069e+02
1.012901e+02,-2.439906e+00,1.012901e+02
1.012730e+02,-2.460997e+00,1.012730e+02
1.012557e+02,-2.481680e+00,1.012557e+02
1.012382e+02,-2.501949e+00,1.012382e+02
1.012204e+02,-2.521798e+00,1.012204e+02
1.012023e+02,-2.541222e+00,1.012023e+02
1.011841e+02,-2.560216e+00,1.011841e+02
1.011656e+02,-2.578774e+00,1.011656e+02
1.011470e+02,-2.596891e+00,1.011470e+02
1.011282e+02,-2.614563e+00,1.011282e+02
1.011091e+02,-2.631786e+00,1.011091e+02
1.010900e+02,-2.648555e+00,1.010900e+02
1.010706e+02,-2.664867e+00,1.010706e+02
1.010511e+02,-2.680718e+00,1.010511e+02
1.010315e+02,-2.696104e+00,1.010315e+02
1.010118e+02,-2.711024e+00,1.010118e+02
1.009919e+02,-2.725473e+00,1.009919e+02
1.009720e+02,-2.739450e+00,1.009720e+02
1.009520e+02,-2.752952e+00,1.009520e+02
1.009319e+02,-2.765977e+00,1.009319e+02
1.009117e+02,-2.778524e+00,1.009117e+02
1.008915e+02,-2.790592e+00,1.008915e+02
1.008712e+02,-2.802178e+00,1.008712e+02
1.008509e+02,-2.813283e+00,1.008509e+02
1.008306e+02,-2.823905e+00,1.008306e+02
1.008102e+02,-2.834045e+00,1.008102e+02
1.007899e+02,-2.843703e+00,1.007899e+02
1.007696e+02,-2.852878e+00,1.007696e+02
1.007493e+02,-2.861571e+00,1.007493e+02
1.007291e+02,-2.869784e+00,1.007291e+02
1.007089e+02,-2.877517e+00,1.007089e+02
1.006888e+02,-2.884771e+00,1.006888e+02
1.006687e+02,-2.891548e+00,1.006687e+02
1.006488e+02,-2.897851e+00,1.006488e+02
1.006289e+02,-2.903681e+00,1.006289e+02
1.006091e+02,-2.909041e+00,1.006091e+02
1.005895e+02,-2.913933e+00,1.005895e+02
1.005700e+02,-2.918361e+00,1.005700e+02
1.005506e+02,-2.922328e+00,1.005506e+02
1.005314e+02,-2.925837e+00,1.005314e+02
1.005123e+02,-2.928892e+00,1.005123e+02
1.004934e+02,-2.931497e+00,1.004934e+02
1.004747e+02,-2.933657e+00,1.004747e+02
1.004562e+02,-2.935377e+00,1.004562e+02
1.004379e+02,-2.936660e+00,1.004379e+02
1.004198e+02,-2.937512e+00,1.004198e+02
1.004020e+02,-2.937938e+00,1.004020e+02
1.003844e+02,-2.937945e+00,1.003844e+02
1.003670e+02,-2.937537e+00,1.003670e+02
1.003499e+02,-2.936721e+00,1.003499e+02
1.003330e+02,-2.935503e+00,1.003330e+02
1.003164e+02,-2.933890e+00,1.003164e+02
1.003002e+02,-2.931888e+00,1.003002e+02
1.002842e+02,-2.929505e+00,1.002842e+02
1.002685e+02,-2.926747e+00,1.002685e+02
1.002531e+02,-2.923622e+00,1.002531e+02
1.002380e+02,-2.920138e+00,1.002380e+02
1.002233e+02,-2.916302e+00,1.002233e+02
1.002089e+02,-2.912122e+00,1.002089e+02
1.001949e+02,-2.907607e+00,1.001949e+02
1.001812e+02,-2.902765e+00,1.001812e+02
1.001678e+02,-2.897605e+00,1.001678e+02
1.001549e+02,-2.892135e+00,1.001549e+02
1.001423e+02,-2.886364e+00,1.001423e+02
1.001301e+02,-2.880303e+00,1.001301e+02
1.001183e+02,-2.873959e+00,1.001183e+02
1.001069e+02,-2.867342e+00,1.001069e+02
1.000959e+02,-2.860462e+00,1.000959e+02
1.000853e+02,-2.853329e+00,1.000853e+02
1.000751e+02,-2.845952e+00,1.000751e+02
1.000653e+02,-2.838343e+00,1.000653e+02
1.000560e+02,-2.830510e+00,1.000560e+02
1.000471e+02,-2.822464e+00,1.000471e+02
1.000386e+02,-2.814216e+00,1.000386e+02
1.000306e+02,-2.805776e+00,1.000306e+02
1.000230e+02,-2.797155e+00,1.000230e+02
1.000159e+02,-2.788364e+00,1.000159e+02
1.000092e+02,-2.779413e+00,1.000092e+02
1.000030e+02,-2.770314e+00,1.000030e+02
9.999723e+01,-2.761077e+00,9.999723e+01
9.999194e+01,-2.751714e+00,9.999194e+01
9.998711e+01,-2.742236e+00,9.998711e+01
9.998276e+01,-2.732654e+00,9.998276e+01
9.997888e+01,-2.722980e+00,9.997888e+01
9.997548e+01,-2.713224e+00,9.997548e+01
9.997255e+01,-2.703399e+00,9.997255e+01
9.997010e+01,-2.693515e+00,9.997010e+01
9.996813e+01,-2.683585e+00,9.996813e+01
9.996664e+01,-2.673619e+00,9.996664e+01
9.996563e+01,-2.663630e+00,9.996563e+01
9.996510e+01,-2.653629e+00,9.996510e+01
9.996506e+01,-2.643627e+00,9.996506e+01
9.996549e+01,-2.633636e+00,9.996549e+01
9.996641e+01,-2.623668e+00,9.996641e+01
9.996780e+01,-2.613734e+00,9.996780e+01
9.996968e+01,-2.603845e+00,9.996968e+01
9.997203e+01,-2.594014e+00,9.997203e+01
9.997486e+01,-2.584252e+00,9.997486e+01
9.997817e+01,-2.574569e+00,9.997817e+01
9.998194e+01,-2.564978e+00,9.998194e+01
9.998619e+01,-2.555490e+00,9.998619e+01
9.999091e+01,-2.546116e+00,9.999091e+01
9.999609e+01,-2.536867e+00,9.999609e+01
1.000017e+02,-2.527755e+00,1.000017e+02
1.000078e+02,-2.518790e+00,1.000078e+02
1.000144e+02,-2.509984e+00,1.000144e+02
1.000214e+02,-2.501347e+00,1.000214e+02
1.000289e+02,-2.492890e+00,1.000289e+02
1.000367e+02,-2.484624e+00,1.000367e+02
