x,y,z
1.000000e+02,0.000000e+00,1.000000e+02
1.000000e+02,1.000000e+00,1.000000e+02
1.048156e+02,2.000000e+00,9.518439e+01
1.144468e+02,-8.570970e+00,8.555317e+01
1.011490e+02,-4.228388e+01,7.133824e+01
9.432667e+00,-4.418452e+01,5.300341e+01
-8.442453e+01,1.737317e+02,3.123320e+01
3.466451e+02,6.165738e+02,6.910561e+00
1.841959e+03,2.566764e+01,-1.891615e+01
3.337274e+03,-5.652385e+02,-4.474286e+01
4.832588e+03,-1.156145e+03,-7.056958e+01
6.327902e+03,-1.747051e+03,-9.639629e+01
7.823216e+03,-2.337957e+03,-1.222230e+02
9.318531e+03,-2.928863e+03,-1.480497e+02
1.081384e+04,-3.519769e+03,-1.738764e+02
1.230916e+04,-4.110676e+03,-1.997031e+02
1.380447e+04,-4.701582e+03,-2.255298e+02
1.529979e+04,-5.292488e+03,-2.513566e+02
1.679510e+04,-5.883394e+03,-2.771833e+02
1.829042e+04,-6.474300e+03,-3.030100e+02
1.978573e+04,-7.065207e+03,-3.288367e+02
2.128104e+04,-7.656113e+03,-3.546634e+02
2.277636e+04,-8.247019e+03,-3.804901e+02
2.427167e+04,-8.837925e+03,-4.063168e+02
2.576699e+04,-9.428831e+03,-4.321435e+02
2.726230e+04,-1.001974e+04,-4.579703e+02
2.875762e+04,-1.061064e+04,-4.837970e+02
3.025293e+04,-1.120155e+04,-5.096237e+02
3.174824e+04,-1.179246e+04,-5.354504e+02
3.324356e+04,-1.238336e+04,-5.612771e+02
3.473887e+04,-1.297427e+04,-5.871038e+02
3.623419e+04,-1.356517e+04,-6.129305e+02
3.772950e+04,-1.415608e+04,-6.387572e+02
3.922482e+04,-1.474699e+04,-6.645840e+02
4.072013e+04,-1.533789e+04,-6.904107e+02
4.221544e+04,-1.592880e+04,-7.162374e+02
4.371076e+04,-1.651971e+04,-7.420641e+02
4.520607e+04,-1.711061e+04,-7.678908e+02
4.670139e+04,-1.770152e+04,-7.937175e+02
4.819670e+04,-1.829242e+04,-8.195442e+02
4.969202e+04,-1.888333e+04,-8.453709e+02
5.118733e+04,-1.947424e+04,-8.711977e+02
5.268264e+04,-2.006514e+04,-8.970244e+02
5.417796e+04,-2.065605e+04,-9.228511e+02
5.567327e+04,-2.124696e+04,-9.486778e+02
5.716859e+04,-2.183786e+04,-9.745045e+02
5.866390e+04,-2.242877e+04,-1.000331e+03
6.015921e+04,-2.301967e+04,-1.026158e+03
6.165453e+04,-2.361058e+04,-1.051985e+03
6.314984e+04,-2.420149e+04,-1.077811e+03
6.464516e+04,-2.479239e+04,-1.103638e+03
6.614047e+04,-2.538330e+04,-1.129465e+03
6.763579e+04,-2.597420e+04,-1.155291e+03
6.913110e+04,-2.656511e+04,-1.181118e+03
7.062641e+04,-2.715602e+04,-1.206945e+03
7.212173e+04,-2.774692e+04,-1.232772e+03
7.361704e+04,-2.833783e+04,-1.258598e+03
7.511236e+04,-2.892874e+04,-1.284425e+03
7.660767e+04,-2.951964e+04,-1.310252e+03
7.810299e+04,-3.011055e+04,-1.336078e+03
7.959830e+04,-3.070145e+04,-1.361905e+03
8.109361e+04,-3.129236e+04,-1.387732e+03
8.258893e+04,-3.188327e+04,-1.413559e+03
8.408424e+04,-3.247417e+04,-1.439385e+03
8.557956e+04,-3.306508e+04,-1.465212e+03
8.707487e+04,-3.365598e+04,-1.491039e+03
8.857019e+04,-3.424689e+04,-1.516865e+03
9.006550e+04,-3.483780e+04,-1.542692e+03
9.156081e+04,-3.542870e+04,-1.568519e+03
9.305613e+04,-3.601961e+04,-1.594346e+03
9.455144e+04,-3.661052e+04,-1.620172e+03
9.604676e+04,-3.720142e+04,-1.645999e+03
9.754207e+04,-3.779233e+04,-1.671826e+03
9.903739e+04,-3.838323e+04,-1.697652e+03
1.005327e+05,-3.897414e+04,-1.723479e+03
1.020280e+05,-3.956505e+04,-1.749306e+03
1.035233e+05,-4.015595e+04,-1.775133e+03
1.050186e+05,-4.074686e+04,-1.800959e+03
1.065140e+05,-4.133777e+04,-1.826786e+03
1.080093e+05,-4.192867e+04,-1.852613e+03
1.095046e+05,-4.251958e+04,-1.878439e+03
1.109999e+05,-4.311048e+04,-1.904266e+03
1.124952e+05,-4.370139e+04,-1.930093e+03
1.139905e+05,-4.429230e+04,-1.955920e+03
1.154858e+05,-4.488320e+04,-1.981746e+03
1.169812e+05,-4.547411e+04,-2.007573e+03
1.184765e+05,-4.606501e+04,-2.033400e+03
1.199718e+05,-4.665592e+04,-2.059226e+03
1.214671e+05,-4.724683e+04,-2.085053e+03
1.229624e+05,-4.783773e+04,-2.110880e+03
1.244577e+05,-4.842864e+04,-2.136707e+03
1.259530e+05,-4.901955e+04,-2.162533e+03
1.274484e+05,-4.961045e+04,-2.188360e+03
1.289437e+05,-5.020136e+04,-2.214187e+03
1.304390e+05,-5.079226e+04,-2.240013e+03
1.319343e+05,-5.138317e+04,-2.265840e+03
1.334296e+05,-5.197408e+04,-2.291667e+03
1.349249e+05,-5.256498e+04,-2.317494e+03
1.364202e+05,-5.315589e+04,-2.343320e+03
1.379156e+05,-5.374680e+04,-2.369147e+03
1.394109e+05,-5.433770e+04,-2.394974e+03
