x,y,z
1.000000e+02,0.000000e+00,1.000000e+02
1.000000e+02,5.000000e-01,1.000000e+02
1.012039e+02,1.000000e+00,9.879610e+01
1.036117e+02,5.362879e-02,9.638829e+01
1.054894e+02,-3.785485e+00,9.279108e+01
1.033688e+02,-9.884800e+00,8.803345e+01
9.454026e+01,-1.345395e+01,8.215870e+01
8.203703e+01,-6.453898e+00,7.522411e+01
7.853027e+01,1.551784e+01,6.730042e+01
1.019692e+02,4.167252e+01,5.847110e+01
1.573685e+02,3.970248e+01,4.883154e+01
2.110098e+02,-2.871205e+01,3.848806e+01
1.832340e+02,-1.614665e+02,2.755669e+01
-3.095031e+00,-2.609546e+02,1.616196e+01
-3.080950e+02,-1.370925e+02,4.435472e+00
-4.639957e+02,3.523889e+02,-7.485588e+00
-3.246324e+01,1.028734e+03,-1.946005e+01
3.990692e+02,1.705080e+03,-3.143450e+01
8.306017e+02,2.381425e+03,-4.340896e+01
1.262134e+03,3.057771e+03,-5.538342e+01
1.693667e+03,3.734116e+03,-6.735788e+01
2.125199e+03,4.410461e+03,-7.933234e+01
2.556732e+03,5.086807e+03,-9.130679e+01
2.988264e+03,5.763152e+03,-1.032813e+02
3.419797e+03,6.439498e+03,-1.152557e+02
3.851329e+03,7.115843e+03,-1.272302e+02
4.282861e+03,7.792188e+03,-1.392046e+02
4.714394e+03,8.468534e+03,-1.511791e+02
5.145926e+03,9.144879e+03,-1.631535e+02
5.577459e+03,9.821225e+03,-1.751280e+02
6.008991e+03,1.049757e+04,-1.871025e+02
6.440524e+03,1.117392e+04,-1.990769e+02
6.872056e+03,1.185026e+04,-2.110514e+02
7.303589e+03,1.252661e+04,-2.230258e+02
7.735121e+03,1.320295e+04,-2.350003e+02
8.166654e+03,1.387930e+04,-2.469747e+02
8.598186e+03,1.455564e+04,-2.589492e+02
9.029719e+03,1.523199e+04,-2.709237e+02
9.461251e+03,1.590833e+04,-2.828981e+02
9.892784e+03,1.658468e+04,-2.948726e+02
1.032432e+04,1.726102e+04,-3.068470e+02
1.075585e+04,1.793737e+04,-3.188215e+02
1.118738e+04,1.861372e+04,-3.307960e+02
1.161891e+04,1.929006e+04,-3.427704e+02
1.205045e+04,1.996641e+04,-3.547449e+02
1.248198e+04,2.064275e+04,-3.667193e+02
1.291351e+04,2.131910e+04,-3.786938e+02
1.334504e+04,2.199544e+04,-3.906682e+02
1.377658e+04,2.267179e+04,-4.026427e+02
1.420811e+04,2.334813e+04,-4.146172e+02
1.463964e+04,2.402448e+04,-4.265916e+02
1.507117e+04,2.470082e+04,-4.385661e+02
1.550271e+04,2.537717e+04,-4.505405e+02
1.593424e+04,2.605351e+04,-4.625150e+02
1.636577e+04,2.672986e+04,-4.744895e+02
1.679730e+04,2.740621e+04,-4.864639e+02
1.722884e+04,2.808255e+04,-4.984384e+02
1.766037e+04,2.875890e+04,-5.104128e+02
1.809190e+04,2.943524e+04,-5.223873e+02
1.852343e+04,3.011159e+04,-5.343617e+02
1.895497e+04,3.078793e+04,-5.463362e+02
1.938650e+04,3.146428e+04,-5.583107e+02
1.981803e+04,3.214062e+04,-5.702851e+02
2.024956e+04,3.281697e+04,-5.822596e+02
2.068110e+04,3.349331e+04,-5.942340e+02
2.111263e+04,3.416966e+04,-6.062085e+02
2.154416e+04,3.484601e+04,-6.181829e+02
2.197569e+04,3.552235e+04,-6.301574e+02
2.240723e+04,3.619870e+04,-6.421319e+02
2.283876e+04,3.687504e+04,-6.541063e+02
2.327029e+04,3.755139e+04,-6.660808e+02
2.370182e+04,3.822773e+04,-6.780552e+02
2.413335e+04,3.890408e+04,-6.900297e+02
2.456489e+04,3.958042e+04,-7.020042e+02
2.499642e+04,4.025677e+04,-7.139786e+02
2.542795e+04,4.093311e+04,-7.259531e+02
2.585948e+04,4.160946e+04,-7.379275e+02
2.629102e+04,4.228580e+04,-7.499020e+02
2.672255e+04,4.296215e+04,-7.618764e+02
2.715408e+04,4.363850e+04,-7.738509e+02
2.758561e+04,4.431484e+04,-7.858254e+02
2.801715e+04,4.499119e+04,-7.977998e+02
2.844868e+04,4.566753e+04,-8.097743e+02
2.888021e+04,4.634388e+04,-8.217487e+02
2.931174e+04,4.702022e+04,-8.337232e+02
2.974328e+04,4.769657e+04,-8.456976e+02
3.017481e+04,4.837291e+04,-8.576721e+02
3.060634e+04,4.904926e+04,-8.696466e+02
3.103787e+04,4.972560e+04,-8.816210e+02
3.146941e+04,5.040195e+04,-8.935955e+02
3.190094e+04,5.107830e+04,-9.055699e+02
3.233247e+04,5.175464e+04,-9.175444e+02
3.276400e+04,5.243099e+04,-9.295189e+02
