x,y,z
1.000000e+02,0.000000e+00,1.000000e+02
1.000000e+02,1.000000e-03,1.000000e+02
1.000000e+02,2.000000e-03,1.000000e+02
1.000000e+02,2.999988e-03,9.999999e+01
1.000000e+02,3.999954e-03,9.999997e+01
1.000000e+02,4.999884e-03,9.999995e+01
1.000001e+02,5.999769e-03,9.999993e+01
1.000001e+02,6.999595e-03,9.999990e+01
1.000001e+02,7.999352e-03,9.999987e+01
1.000002e+02,8.999028e-03,9.999983e+01
1.000002e+02,9.998612e-03,9.999978e+01
1.000003e+02,1.099809e-02,9.999974e+01
1.000003e+02,1.199745e-02,9.999968e+01
1.000004e+02,1.299669e-02,9.999962e+01
1.000004e+02,1.399579e-02,9.999956e+01
1.000005e+02,1.499474e-02,9.999949e+01
1.000006e+02,1.599352e-02,9.999942e+01
1.000007e+02,1.699213e-02,9.999935e+01
1.000007e+02,1.799056e-02,9.999926e+01
1.000008e+02,1.898879e-02,9.999918e+01
1.000009e+02,1.998681e-02,9.999909e+01
1.000010e+02,2.098461e-02,9.999899e+01
1.000011e+02,2.198218e-02,9.999889e+01
1.000012e+02,2.297951e-02,9.999878e+01
1.000013e+02,2.397658e-02,9.999867e+01
1.000014e+02,2.497339e-02,9.999856e+01
1.000016e+02,2.596992e-02,9.999843e+01
1.000017e+02,2.696616e-02,9.999831e+01
1.000018e+02,2.796210e-02,9.999818e+01
1.000020e+02,2.895773e-02,9.999804e+01
1.000021e+02,2.995303e-02,9.999791e+01
1.000022e+02,3.094800e-02,9.999776e+01
1.000024e+02,3.194262e-02,9.999761e+01
1.000025e+02,3.293688e-02,9.999746e+01
1.000027e+02,3.393078e-02,9.999730e+01
1.000029e+02,3.492429e-02,9.999713e+01
1.000030e+02,3.591741e-02,9.999697e+01
1.000032e+02,3.691012e-02,9.999679e+01
1.000034e+02,3.790242e-02,9.999661e+01
1.000036e+02,3.889429e-02,9.999643e+01
1.000038e+02,3.988572e-02,9.999624e+01
1.000039e+02,4.087670e-02,9.999605e+01
1.000041e+02,4.186722e-02,9.999585e+01
1.000043e+02,4.285727e-02,9.999565e+01
1.000046e+02,4.384683e-02,9.999544e+01
1.000048e+02,4.483589e-02,9.999523e+01
1.000050e+02,4.582444e-02,9.999502e+01
1.000052e+02,4.681248e-02,9.999479e+01
1.000054e+02,4.779998e-02,9.999457e+01
1.000057e+02,4.878694e-02,9.999434e+01
1.000059e+02,4.977335e-02,9.999410e+01
1.000061e+02,5.075919e-02,9.999386e+01
1.000064e+02,5.174445e-02,9.999361e+01
1.000066e+02,5.272913e-02,9.999336e+01
1.000069e+02,5.371320e-02,9.999311e+01
1.000071e+02,5.469667e-02,9.999285e+01
1.000074e+02,5.567951e-02,9.999258e+01
1.000077e+02,5.666171e-02,9.999231e+01
1.000079e+02,5.764327e-02,9.999204e+01
1.000082e+02,5.862417e-02,9.999176e+01
1.000085e+02,5.960440e-02,9.999148e+01
1.000088e+02,6.058396e-02,9.999119e+01
1.000091e+02,6.156282e-02,9.999089e+01
1.000094e+02,6.254097e-02,9.999060e+01
1.000097e+02,6.351841e-02,9.999029e+01
1.000100e+02,6.449513e-02,9.998998e+01
1.000103e+02,6.547111e-02,9.998967e+01
