omega_V,particles left
0.2,2
0.22,1
0.24,99
0.26,100
0.28,98
0.3,100
0.32,95
0.34,97
0.36,33
0.38,0
0.4,0
0.42,0
0.44,0
0.46,0
0.48,0
0.5,0
0.52,44
0.54,70
0.56,74
0.58,77
0.6,85
0.62,87
0.64,86
0.66,89
0.68,88
0.7,91
0.72,89
0.74,99
0.76,95
0.78,96
0.8,94
0.82,94
0.84,98
0.86,95
0.88,95
0.9,92
0.92,96
0.94,93
0.96,95
0.98,96
1,97
1.02,94
1.04,98
1.06,94
1.08,94
1.1,95
1.12,94
1.14,95
1.16,94
1.18,92
1.2,95
1.22,96
1.24,95
1.26,96
1.28,95
1.3,99
1.32,100
1.34,95
1.36,97
1.38,98
1.4,95
1.42,94
1.44,94
1.46,96
1.48,95
1.5,97
1.52,95
1.54,96
1.56,98
1.58,96
1.6,97
1.62,98
1.64,94
1.66,99
1.68,98
1.7,98
1.72,100
1.74,98
1.76,97
1.78,96
1.8,99
1.82,98
1.84,96
1.86,95
1.88,97
1.9,99
1.92,97
1.94,97
1.96,96
1.98,98
2,96
2.02,96
2.04,95
2.06,96
2.08,94
2.1,95
2.12,99
2.14,95
2.16,99
2.18,98
2.2,95
2.22,97
2.24,95
2.26,98
2.28,98
2.3,96
2.32,93
2.34,95
2.36,97
2.38,84
2.4,97
2.42,97
2.44,97
2.46,97
2.48,97
