x,y,z
1.000000e+02,0.000000e+00,1.000000e+02
1.012518e+02,-9.284949e-01,9.760186e+01
1.006198e+02,-2.108762e+00,9.052261e+01
1.008843e+02,-2.975816e+00,7.910178e+01
1.007191e+02,-4.089094e+00,6.388716e+01
1.007277e+02,-5.037302e+00,4.560844e+01
1.006511e+02,-6.085334e+00,2.514231e+01
1.005916e+02,-7.075334e+00,3.470354e+00
1.005142e+02,-8.095910e+00,-1.836801e+01
1.004274e+02,-9.099325e+00,-3.932539e+01
1.003318e+02,-1.011003e+01,-5.839664e+01
1.002245e+02,-1.111575e+01,-7.466708e+01
1.001083e+02,-1.212218e+01,-8.735636e+01
9.998124e+01,-1.312660e+01,-9.585590e+01
9.984455e+01,-1.413001e+01,-9.975805e+01
9.969754e+01,-1.513188e+01,-9.887567e+01
9.954061e+01,-1.613225e+01,-9.325109e+01
9.937357e+01,-1.713100e+01,-8.315407e+01
9.919655e+01,-1.812801e+01,-6.906889e+01
9.900950e+01,-1.912320e+01,-5.167110e+01
9.881248e+01,-2.011646e+01,-3.179512e+01
9.860550e+01,-2.110770e+01,-1.039423e+01
9.838857e+01,-2.209680e+01,1.150514e+01
9.816172e+01,-2.308368e+01,3.285268e+01
9.792497e+01,-2.406822e+01,5.262452e+01
9.767835e+01,-2.505034e+01,6.987240e+01
9.742187e+01,-2.602994e+01,8.376908e+01
9.715558e+01,-2.700691e+01,9.364806e+01
9.687948e+01,-2.798115e+01,9.903554e+01
9.659362e+01,-2.895258e+01,9.967315e+01
9.629802e+01,-2.992109e+01,9.553029e+01
9.599270e+01,-3.088657e+01,8.680569e+01
9.567771e+01,-3.184895e+01,7.391778e+01
9.535307e+01,-3.280811e+01,5.748471e+01
9.501881e+01,-3.376396e+01,3.829461e+01
9.467497e+01,-3.471641e+01,1.726789e+01
9.432158e+01,-3.566536e+01,-4.586992e+00
9.395869e+01,-3.661071e+01,-2.622184e+01
9.358632e+01,-3.755237e+01,-4.659903e+01
9.320451e+01,-3.849025e+01,-6.474123e+01
9.281330e+01,-3.942424e+01,-7.977833e+01
9.241273e+01,-4.035425e+01,-9.098913e+01
9.200285e+01,-4.128020e+01,-9.783596e+01
9.158369e+01,-4.220199e+01,-9.999044e+01
9.115529e+01,-4.311952e+01,-9.734924e+01
9.071770e+01,-4.403270e+01,-9.003906e+01
9.027096e+01,-4.494144e+01,-7.841049e+01
8.981512e+01,-4.584565e+01,-6.302127e+01
8.935022e+01,-4.674523e+01,-4.460949e+01
8.887632e+01,-4.764011e+01,-2.405821e+01
8.839345e+01,-4.853017e+01,-2.353103e+00
8.790166e+01,-4.941535e+01,1.946483e+01
8.740102e+01,-5.029554e+01,4.034917e+01
8.689156e+01,-5.117066e+01,5.929828e+01
8.637333e+01,-5.204062e+01,7.540334e+01
8.584640e+01,-5.290533e+01,8.789193e+01
8.531081e+01,-5.376471e+01,9.616509e+01
8.476662e+01,-5.461867e+01,9.982604e+01
8.421389e+01,-5.546711e+01,9.869919e+01
8.365265e+01,-5.630997e+01,9.283860e+01
8.308299e+01,-5.714715e+01,8.252536e+01
8.250494e+01,-5.797856e+01,6.825411e+01
8.191858e+01,-5.880413e+01,5.070933e+01
8.132396e+01,-5.962376e+01,3.073249e+01
8.072113e+01,-6.043739e+01,9.281712e+00
8.011017e+01,-6.124492e+01,-1.261420e+01
7.949112e+01,-6.204628e+01,-3.390508e+01
7.886406e+01,-6.284138e+01,-5.356980e+01
7.822905e+01,-6.363014e+01,-7.066521e+01
7.758615e+01,-6.441248e+01,-8.437140e+01
7.693543e+01,-6.518833e+01,-9.403100e+01
7.627695e+01,-6.595761e+01,-9.918074e+01
7.561078e+01,-6.672023e+01,-9.957364e+01
7.493698e+01,-6.747613e+01,-9.519085e+01
7.425562e+01,-6.822523e+01,-8.624260e+01
7.356678e+01,-6.896744e+01,-7.315804e+01
7.287052e+01,-6.970270e+01,-5.656476e+01
7.216691e+01,-7.043093e+01,-3.725858e+01
7.145603e+01,-7.115206e+01,-1.616546e+01
7.073794e+01,-7.186601e+01,5.702945e+00
7.001271e+01,-7.257272e+01,2.729780e+01
6.928043e+01,-7.327211e+01,4.758337e+01
6.854116e+01,-7.396411e+01,6.558676e+01
6.779498e+01,-7.464865e+01,8.044449e+01
6.704196e+01,-7.532566e+01,9.144398e+01
6.628218e+01,-7.599508e+01,9.805768e+01
6.551572e+01,-7.665683e+01,9.996839e+01
6.474265e+01,-7.731086e+01,9.708449e+01
6.396305e+01,-7.795709e+01,8.954429e+01
6.317700e+01,-7.859546e+01,7.770944e+01
6.238458e+01,-7.922590e+01,6.214757e+01
6.158587e+01,-7.984835e+01,4.360504e+01
6.078096e+01,-8.046275e+01,2.297118e+01
5.996991e+01,-8.106904e+01,1.235631e+00
5.915281e+01,-8.166715e+01,-2.055915e+01
5.832975e+01,-8.225703e+01,-4.136785e+01
5.750081e+01,-8.283861e+01,-6.019247e+01
5.666607e+01,-8.341184e+01,-7.613014e+01
5.582561e+01,-8.397666e+01,-8.841649e+01
5.497953e+01,-8.453301e+01,-9.646226e+01
5.412790e+01,-8.508084e+01,-9.988155e+01
