x,y,z
1.000000e+02,0.000000e+00,1.000000e+02
1.000060e+02,4.975894e-02,9.999398e+01
1.000240e+02,9.807670e-02,9.997592e+01
1.000536e+02,1.435328e-01,9.994583e+01
1.000945e+02,1.847478e-01,9.990370e+01
1.001460e+02,2.204033e-01,9.984955e+01
1.002075e+02,2.492604e-01,9.978338e+01
1.002780e+02,2.701782e-01,9.970519e+01
1.003565e+02,2.821295e-01,9.961500e+01
1.004420e+02,2.842158e-01,9.951282e+01
1.005331e+02,2.756804e-01,9.939865e+01
1.006285e+02,2.559190e-01,9.927252e+01
1.007269e+02,2.244885e-01,9.913444e+01
1.008269e+02,1.811132e-01,9.898443e+01
1.009271e+02,1.256891e-01,9.882249e+01
1.010258e+02,5.828485e-02,9.864866e+01
1.011219e+02,-2.085858e-02,9.846296e+01
1.012138e+02,-1.113319e-01,9.826540e+01
1.013003e+02,-2.125630e-01,9.805601e+01
1.013801e+02,-3.238255e-01,9.783481e+01
1.014520e+02,-4.442489e-01,9.760184e+01
1.015150e+02,-5.728313e-01,9.735712e+01
1.015682e+02,-7.084535e-01,9.710068e+01
1.016108e+02,-8.498953e-01,9.683254e+01
1.016423e+02,-9.958531e-01,9.655275e+01
1.016621e+02,-1.144958e+00,9.626134e+01
1.016699e+02,-1.295797e+00,9.595833e+01
1.016657e+02,-1.446930e+00,9.564378e+01
1.016494e+02,-1.596916e+00,9.531771e+01
1.016214e+02,-1.744327e+00,9.498016e+01
1.015819e+02,-1.887775e+00,9.463118e+01
1.015316e+02,-2.025926e+00,9.427081e+01
1.014711e+02,-2.157524e+00,9.389908e+01
1.014014e+02,-2.281407e+00,9.351606e+01
1.013234e+02,-2.396522e+00,9.312177e+01
1.012382e+02,-2.501945e+00,9.271628e+01
1.011470e+02,-2.596888e+00,9.229962e+01
1.010511e+02,-2.680716e+00,9.187185e+01
1.009520e+02,-2.752950e+00,9.143302e+01
1.008509e+02,-2.813282e+00,9.098318e+01
1.007493e+02,-2.861571e+00,9.052239e+01
1.006488e+02,-2.897852e+00,9.005070e+01
1.005506e+02,-2.922329e+00,8.956817e+01
1.004562e+02,-2.935379e+00,8.907486e+01
1.003670e+02,-2.937541e+00,8.857082e+01
1.002842e+02,-2.929509e+00,8.805612e+01
1.002089e+02,-2.912127e+00,8.753082e+01
1.001423e+02,-2.886370e+00,8.699499e+01
1.000853e+02,-2.853336e+00,8.644867e+01
1.000386e+02,-2.814223e+00,8.589196e+01
1.000030e+02,-2.770322e+00,8.532490e+01
9.997889e+01,-2.722988e+00,8.474757e+01
9.996664e+01,-2.673628e+00,8.416003e+01
9.996641e+01,-2.623677e+00,8.356236e+01
9.997817e+01,-2.574579e+00,8.295464e+01
1.000017e+02,-2.527764e+00,8.233693e+01
1.000367e+02,-2.484633e+00,8.170930e+01
1.000827e+02,-2.446530e+00,8.107184e+01
1.001389e+02,-2.414729e+00,8.042462e+01
1.002045e+02,-2.390412e+00,7.976771e+01
1.002785e+02,-2.374657e+00,7.910120e+01
1.003599e+02,-2.368415e+00,7.842517e+01
1.004475e+02,-2.372503e+00,7.773970e+01
1.005400e+02,-2.387588e+00,7.704487e+01
1.006361e+02,-2.414180e+00,7.634076e+01
1.007343e+02,-2.452624e+00,7.562746e+01
1.008332e+02,-2.503094e+00,7.490506e+01
1.009314e+02,-2.565593e+00,7.417364e+01
1.010274e+02,-2.639950e+00,7.343329e+01
1.011198e+02,-2.725823e+00,7.268410e+01
1.012073e+02,-2.822706e+00,7.192616e+01
1.012887e+02,-2.929936e+00,7.115956e+01
1.013626e+02,-3.046697e+00,7.038440e+01
1.014280e+02,-3.172042e+00,6.960076e+01
1.014840e+02,-3.304897e+00,6.880874e+01
1.015297e+02,-3.444080e+00,6.800844e+01
1.015645e+02,-3.588321e+00,6.719994e+01
1.015877e+02,-3.736274e+00,6.638336e+01
1.015992e+02,-3.886543e+00,6.555879e+01
1.015985e+02,-4.037695e+00,6.472633e+01
1.015858e+02,-4.188288e+00,6.388607e+01
1.015612e+02,-4.336886e+00,6.303812e+01
1.015250e+02,-4.482081e+00,6.218258e+01
1.014778e+02,-4.622516e+00,6.131956e+01
1.014200e+02,-4.756901e+00,6.044915e+01
1.013527e+02,-4.884033e+00,5.957147e+01
1.012766e+02,-5.002813e+00,5.868662e+01
1.011928e+02,-5.112261e+00,5.779470e+01
1.011026e+02,-5.211533e+00,5.689582e+01
1.010072e+02,-5.299930e+00,5.599009e+01
1.009078e+02,-5.376908e+00,5.507762e+01
1.008060e+02,-5.442090e+00,5.415852e+01
1.007032e+02,-5.495264e+00,5.323290e+01
1.006007e+02,-5.536395e+00,5.230088e+01
1.005000e+02,-5.565617e+00,5.136255e+01
1.004026e+02,-5.583237e+00,5.041805e+01
1.003098e+02,-5.589728e+00,4.946747e+01
1.002229e+02,-5.585723e+00,4.851094e+01
1.001431e+02,-5.572005e+00,4.754856e+01
1.000715e+02,-5.549498e+00,4.658046e+01
1.000091e+02,-5.519250e+00,4.560676e+01
9.995676e+01,-5.482422e+00,4.462756e+01
9.991522e+01,-5.440267e+00,4.364300e+01
9.988503e+01,-5.394118e+00,4.265317e+01
9.986658e+01,-5.345363e+00,4.165822e+01
9.986010e+01,-5.295427e+00,4.065824e+01
9.986564e+01,-5.245753e+00,3.965338e+01
9.988308e+01,-5.197780e+00,3.864373e+01
9.991213e+01,-5.152922e+00,3.762944e+01
9.995235e+01,-5.112550e+00,3.661062e+01
1.000031e+02,-5.077968e+00,3.558739e+01
1.000636e+02,-5.050400e+00,3.455987e+01
1.001330e+02,-5.030965e+00,3.352819e+01
