x,y,z
1.000000e+00,0.000000e+00,0.000000e+00
1.000000e+00,1.000000e-05,0.000000e+00
1.000000e+00,2.000000e-05,0.000000e+00
1.000000e+00,2.999999e-05,0.000000e+00
1.000000e+00,3.999997e-05,0.000000e+00
1.000000e+00,4.999995e-05,0.000000e+00
1.000000e+00,5.999992e-05,0.000000e+00
1.000000e+00,6.999987e-05,0.000000e+00
1.000000e+00,7.999980e-05,0.000000e+00
1.000000e+00,8.999971e-05,0.000000e+00
1.000000e+00,9.999961e-05,0.000000e+00
1.000000e+00,1.099995e-04,0.000000e+00
1.000000e+00,1.199993e-04,0.000000e+00
1.000000e+00,1.299991e-04,0.000000e+00
1.000000e+00,1.399989e-04,0.000000e+00
1.000001e+00,1.499987e-04,0.000000e+00
1.000001e+00,1.599984e-04,0.000000e+00
1.000001e+00,1.699981e-04,0.000000e+00
1.000001e+00,1.799977e-04,0.000000e+00
1.000001e+00,1.899973e-04,0.000000e+00
1.000001e+00,1.999969e-04,0.000000e+00
1.000001e+00,2.099964e-04,0.000000e+00
1.000001e+00,2.199958e-04,0.000000e+00
1.000001e+00,2.299952e-04,0.000000e+00
1.000001e+00,2.399946e-04,0.000000e+00
1.000002e+00,2.499939e-04,0.000000e+00
1.000002e+00,2.599931e-04,0.000000e+00
1.000002e+00,2.699923e-04,0.000000e+00
1.000002e+00,2.799914e-04,0.000000e+00
1.000002e+00,2.899904e-04,0.000000e+00
1.000002e+00,2.999894e-04,0.000000e+00
1.000002e+00,3.099883e-04,0.000000e+00
1.000002e+00,3.199872e-04,0.000000e+00
1.000003e+00,3.299859e-04,0.000000e+00
1.000003e+00,3.399846e-04,0.000000e+00
1.000003e+00,3.499832e-04,0.000000e+00
1.000003e+00,3.599817e-04,0.000000e+00
1.000003e+00,3.699802e-04,0.000000e+00
1.000004e+00,3.799785e-04,0.000000e+00
1.000004e+00,3.899768e-04,0.000000e+00
1.000004e+00,3.999749e-04,0.000000e+00
1.000004e+00,4.099730e-04,0.000000e+00
1.000004e+00,4.199710e-04,0.000000e+00
1.000005e+00,4.299688e-04,0.000000e+00
1.000005e+00,4.399666e-04,0.000000e+00
1.000005e+00,4.499643e-04,0.000000e+00
1.000005e+00,4.599619e-04,0.000000e+00
1.000005e+00,4.699593e-04,0.000000e+00
1.000006e+00,4.799567e-04,0.000000e+00
1.000006e+00,4.899539e-04,0.000000e+00
1.000006e+00,4.999510e-04,0.000000e+00
1.000006e+00,5.099480e-04,0.000000e+00
1.000007e+00,5.199449e-04,0.000000e+00
1.000007e+00,5.299417e-04,0.000000e+00
1.000007e+00,5.399383e-04,0.000000e+00
1.000007e+00,5.499348e-04,0.000000e+00
1.000008e+00,5.599312e-04,0.000000e+00
1.000008e+00,5.699274e-04,0.000000e+00
1.000008e+00,5.799236e-04,0.000000e+00
1.000008e+00,5.899195e-04,0.000000e+00
1.000009e+00,5.999154e-04,0.000000e+00
1.000009e+00,6.099111e-04,0.000000e+00
1.000009e+00,6.199066e-04,0.000000e+00
1.000010e+00,6.299020e-04,0.000000e+00
1.000010e+00,6.398973e-04,0.000000e+00
1.000010e+00,6.498924e-04,0.000000e+00
1.000011e+00,6.598874e-04,0.000000e+00
1.000011e+00,6.698822e-04,0.000000e+00
1.000011e+00,6.798768e-04,0.000000e+00
1.000012e+00,6.898713e-04,0.000000e+00
1.000012e+00,6.998656e-04,0.000000e+00
1.000012e+00,7.098598e-04,0.000000e+00
1.000013e+00,7.198538e-04,0.000000e+00
1.000013e+00,7.298476e-04,0.000000e+00
1.000013e+00,7.398412e-04,0.000000e+00
1.000014e+00,7.498347e-04,0.000000e+00
1.000014e+00,7.598280e-04,0.000000e+00
1.000014e+00,7.698211e-04,0.000000e+00
1.000015e+00,7.798141e-04,0.000000e+00
1.000015e+00,7.898068e-04,0.000000e+00
1.000016e+00,7.997994e-04,0.000000e+00
1.000016e+00,8.097918e-04,0.000000e+00
1.000016e+00,8.197840e-04,0.000000e+00
1.000017e+00,8.297760e-04,0.000000e+00
1.000017e+00,8.397678e-04,0.000000e+00
1.000018e+00,8.497594e-04,0.000000e+00
1.000018e+00,8.597508e-04,0.000000e+00
1.000018e+00,8.697420e-04,0.000000e+00
1.000019e+00,8.797330e-04,0.000000e+00
1.000019e+00,8.897238e-04,0.000000e+00
1.000020e+00,8.997144e-04,0.000000e+00
1.000020e+00,9.097048e-04,0.000000e+00
1.000021e+00,9.196949e-04,0.000000e+00
1.000021e+00,9.296849e-04,0.000000e+00
1.000022e+00,9.396746e-04,0.000000e+00
1.000022e+00,9.496641e-04,0.000000e+00
1.000022e+00,9.596534e-04,0.000000e+00
1.000023e+00,9.696424e-04,0.000000e+00
1.000023e+00,9.796313e-04,0.000000e+00
1.000024e+00,9.896199e-04,0.000000e+00
1.000024e+00,9.996082e-04,0.000000e+00
1.000025e+00,1.009596e-03,0.000000e+00
1.000025e+00,1.019584e-03,0.000000e+00
1.000026e+00,1.029572e-03,0.000000e+00
1.000026e+00,1.039559e-03,0.000000e+00
1.000027e+00,1.049546e-03,0.000000e+00
