omega_V,particles left
0.2,5
0.22,97
0.24,94
0.26,91
0.28,0
0.3,0
0.32,99
0.34,100
0.36,100
0.38,100
0.4,100
0.42,100
0.44,100
0.46,100
0.48,99
0.5,84
0.52,0
0.54,0
0.56,0
0.58,0
0.6,0
0.62,0
0.64,0
0.66,0
0.68,0
0.7,0
0.72,27
0.74,74
0.76,84
0.78,92
0.8,91
0.82,94
0.84,98
0.86,100
0.88,97
0.9,94
0.92,98
0.94,97
0.96,97
0.98,99
1,99
1.02,99
1.04,100
1.06,97
1.08,99
1.1,99
1.12,99
1.14,100
1.16,100
1.18,99
1.2,99
1.22,100
1.24,100
1.26,100
1.28,100
1.3,100
1.32,100
1.34,100
1.36,100
1.38,100
1.4,99
1.42,100
1.44,99
1.46,99
1.48,100
1.5,99
1.52,100
1.54,99
1.56,100
1.58,99
1.6,100
1.62,100
1.64,98
1.66,100
1.68,100
1.7,99
1.72,100
1.74,100
1.76,100
1.78,100
1.8,99
1.82,100
1.84,100
1.86,100
1.88,100
1.9,100
1.92,100
1.94,99
1.96,100
1.98,99
2,100
2.02,100
2.04,99
2.06,99
2.08,99
2.1,100
2.12,100
2.14,100
2.16,100
2.18,100
2.2,99
2.22,99
2.24,100
2.26,100
2.28,100
2.3,99
2.32,100
2.34,100
2.36,100
2.38,100
2.4,100
2.42,100
2.44,99
2.46,100
2.48,100
